report_id,machine_id,operator_name,shift,date,incident_description,initial_action,severity,status
REP_1000,MCH_019,R. Verma,Evening,2025-09-26,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,High,Open
REP_1001,MCH_034,S. Kumar,Day,2025-09-18,Slight delay in start-up sequence observed.,Reduced load and notified maintenance team.,Medium,Closed
REP_1002,MCH_042,T. Singh,Evening,2025-09-25,Temperature rising faster than normal during startup.,Reduced load and notified maintenance team.,Medium,Open
REP_1003,MCH_036,S. Kumar,Evening,2025-10-30,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,Low,Open
REP_1004,MCH_046,S. Kumar,Night,2025-10-14,System auto-shutdown triggered by overheat sensor.,Temporarily halted machine for inspection.,Low,Closed
REP_1005,MCH_026,R. Verma,Night,2025-09-07,Pressure fluctuations noted under steady load.,Reset system and escalated to engineering.,Low,Open
REP_1006,MCH_049,A. Khan,Day,2025-10-27,Slight delay in start-up sequence observed.,Temporarily halted machine for inspection.,Low,Open
REP_1007,MCH_014,A. Khan,Day,2025-10-18,Slight delay in start-up sequence observed.,Checked coolant levels and filters.,Critical,Closed
REP_1008,MCH_016,A. Khan,Night,2025-10-02,System auto-shutdown triggered by overheat sensor.,Checked coolant levels and filters.,Medium,Investigating
REP_1009,MCH_043,S. Kumar,Day,2025-10-24,System auto-shutdown triggered by overheat sensor.,Temporarily halted machine for inspection.,Low,Closed
REP_1010,MCH_045,J. Das,Day,2025-10-01,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,High,Open
REP_1011,MCH_016,R. Verma,Night,2025-10-31,Slight delay in start-up sequence observed.,Adjusted valve and resumed normal operation.,High,Open
REP_1012,MCH_009,A. Khan,Night,2025-10-07,System auto-shutdown triggered by overheat sensor.,Reset system and escalated to engineering.,Medium,Open
REP_1013,MCH_028,A. Khan,Evening,2025-09-14,System auto-shutdown triggered by overheat sensor.,Temporarily halted machine for inspection.,Medium,Investigating
REP_1014,MCH_020,T. Singh,Evening,2025-09-24,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,High,Investigating
REP_1015,MCH_009,A. Khan,Evening,2025-10-31,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,Medium,Closed
REP_1016,MCH_001,T. Singh,Night,2025-10-15,Oil leakage detected near coupling joint.,Checked coolant levels and filters.,Medium,Open
REP_1017,MCH_040,R. Verma,Day,2025-09-25,System auto-shutdown triggered by overheat sensor.,Temporarily halted machine for inspection.,Low,Closed
REP_1018,MCH_003,T. Singh,Day,2025-09-03,Pressure fluctuations noted under steady load.,Reduced load and notified maintenance team.,Medium,Open
REP_1019,MCH_036,T. Singh,Day,2025-10-10,Oil leakage detected near coupling joint.,Checked coolant levels and filters.,Medium,Investigating
REP_1020,MCH_030,R. Verma,Evening,2025-10-22,Minor smoke detected from motor casing.,Temporarily halted machine for inspection.,Low,Investigating
REP_1021,MCH_043,J. Das,Night,2025-10-19,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,Critical,Open
REP_1022,MCH_001,R. Verma,Evening,2025-09-07,Temperature rising faster than normal during startup.,Checked coolant levels and filters.,Low,Investigating
REP_1023,MCH_033,N. Iyer,Night,2025-09-25,System auto-shutdown triggered by overheat sensor.,Reset system and escalated to engineering.,Medium,Open
REP_1024,MCH_049,J. Das,Day,2025-10-25,Slight delay in start-up sequence observed.,Adjusted valve and resumed normal operation.,High,Closed
REP_1025,MCH_014,T. Singh,Day,2025-09-17,Minor smoke detected from motor casing.,Monitored parameters for 15 minutes.,Critical,Open
REP_1026,MCH_044,T. Singh,Night,2025-10-10,Oil leakage detected near coupling joint.,Monitored parameters for 15 minutes.,Critical,Open
REP_1027,MCH_023,J. Das,Day,2025-09-13,Slight delay in start-up sequence observed.,Temporarily halted machine for inspection.,High,Open
REP_1028,MCH_018,A. Khan,Evening,2025-10-19,System auto-shutdown triggered by overheat sensor.,Monitored parameters for 15 minutes.,Low,Closed
